"N";"store_id";"store_name";"address";"mailing_city";"state";"zip";"municipality";"neighborhood";"longitude";"latitude";"business_phone"
15;31593;"SHEETZ";"5300 WM FLYNN HWY";"GIBSONIA";"PA";15044;"HAMPTON";;40.6145276547727;-79.9466040292846;"724-443-4350"
16;31621;"BP";"3915 WM FLYNN HWY";"ALLISON PARK";"PA";15101;"ALLISON PARK";;40.5593237270174;-79.9598986718017;"412-492-7165"
17;31672;"PET SMART";"8000 MCKNIGHT RD";"PITTSBURGH";"PA";15237;"ROSS";;40.5513271118895;-80.0210039599715;"412-364-2720"
18;31720;"CITGO";"5340 PERRY HWY";"PITTSBURGH";"PA";15229;"WEST VIEW";;40.5117113084659;-80.0312918823849;"(412) 931-9937"
19;32319;"GREEN GROCER";"700 ONEILL BLVD";"MCKEESPORT";"PA";15131;"MCKEESPORT";;40.3498945155981;-79.8300149023059;"412-678-7784"
20;32405;"RAINBOW";"148 MCKEES ROCKS PLZ";"MC KEES ROCKS";"PA";15136;"MCKEES ROCKS";;40.4649854672253;-80.0556066888096;"412-331-5869"
21;32655;"412 EXCHANGE";"3120 5TH AVE";"NORTH VERSAILLES";"PA";15137;"NORTH VERSAILLES";;40.3622264955553;-79.8264396532885;"412-672-2274"
22;32772;"NCAH CASH FOR GOLD";"PENN HILLS SHOP CTR";"PITTSBURGH";"PA";15235;"PENN HILLS";;40.46329750849;-79.8257540918081;"724-351-6171"
25;33022;"GET GO";"280 CRAFTON INGRAM SHOP CTR";"PITTSBURGH";"PA";15205;"CRAFTON";;40.4418017864476;-80.0716477930559;"412-937-0190"
26;33023;"FAT POCKET PAWN";"406 LINCOLN HWY";"NORTH VERSAILLES";"PA";15137;"NORTH VERSAILLES";;40.3825710674998;-79.8188654581268;"412-429-CASH"
27;33039;"CRESCENT JEWELERS";"18049 TORRANCE AVE";"PITTSBURGH";"PA";15202;"BEN AVON";;40.5083801899661;-80.0833885293705;"708-906-0140"
28;33085;"CALGON CARBON CORP";"400 CALGON CARBON DR";"PITTSBURGH";"PA";15205;"ROBINSON";;40.4476123144455;-80.1519212980051;"412-787-6700"
29;33174;"LEE GOUCHNOUR & ASSOCIATES";"ROUTE 48 SCENERY DR";"ELIZABETH";"PA";15037;"ELIZABETH";;40.2835329857737;-79.8370726004583;"724-413-9496"
30;40167;"NORTH PARK HEAVY EQUIP";"2154 WILDWOOD RD";"ALLISON PARK";"PA";15101;"HAMPTON";;40.5960982110008;-79.9845719446276;"724-443-5954"
31;40259;"CAR WASH";"21 CREIGHTON RUSSELLTON RD";"TARENTUM";"PA";15084;"HARMARVILLE";;40.6177351824435;-79.8322455311339;"724-265-1538"
32;40393;"DESI BAZAAR MARKET";"3021 BANKSVILLE RD";"PITTSBURGH";"PA";15216;"SOUTH HILLS";"BANKSVILLE";40.4016162840361;-80.0421984023044;"412-304-5371"
33;40403;"EVEREVE";"GALLERIA MALL";"PITTSBURGH";"PA";15228;"MT LEBANON";;40.3571752675001;-80.0516709004562;"412-440-8155"
34;40431;"AT JEWELRY";"405 PITTSBURGH MILLS CIR";"TARENTUM";"PA";15084;"TARENTUM";;40.5726303703832;-79.7972007446283;"412-519-7211"
35;40454;"OZARK NUT ROASTERS";"3621 WM PENN HWY";"MONROEVILLE";"PA";15146;"MONROEVILLE";;40.4360195488246;-79.7998490679194;"NO PHONE"
36;40457;"GOLD RUSH";"4215 WM PENN HWY";"MONROEVILLE";"PA";15146;"MONROEVILLE";;40.4397701601635;-79.7615776869608;"412-932-7700"
37;40557;"KIEV";"4223 MURRAY AVE";;"PA";"PITTSBURGH";"SQUIRREL HILL";"SQUIRREL HILL SOUTH";40.422647929906;-79.9283938544266;"412-521-4303"
38;40565;"OREILLY AUTO PARTS";"5044 WM FLYNN HWY";"GIBSONIA";"PA";15044;"HAMPTON";;40.6076165021786;-79.9466620139422;"724-939-6066"
39;40580;"UPMC PASSAVANT MCCANDLESS";"9100 BABCOCK BLVD";"PITTSBURGH";"PA";15237;"MCCANDLESS";;40.5731909249188;-80.0128521605176;"412-367-6700"
40;40597;"AMERICAN NATURAL";"940 SHERATON DR";"WEXFORD";"PA";15090;"MARSHALL";;40.673226922882;-80.0975892176392;"NO PHONE YET"
41;40615;"SULTAN BEY";"4601 CENTRE AVE";"PITTSBURGH";"PA";15213;"OAKLAND";"NORTH OAKLAND";40.4522302893055;-79.9518791581248;"412-688-8433"
42;40616;"MILKSHAKE FACTORY";"9898 UNIVERSITY BLVD";"MOON TWP";"PA";15108;"MOON";;40.5007018522526;-80.222382256274;"412-474-3711"
